34460,이렁성저렁성-하다,형용사,이런 것도 같고 저런 것도 같이 아무런 대중이 없다.,
34469,이렇다,형용사,"상태, 모양, 성질 따위가 이와 같다.","본말 이러-하다
비슷한말 약시-하다(若是하다), 약차-하다(若此하다), 여사-하다(如斯하다), 여시-하다(如是하다), 여차-하다(如此하다)
참고 어휘 그렇다, 요렇다, 저렇다"
34714,이룽이룽-하다,형용사,어른거리는 것이 흐리고 뚜렷하지 아니하다.,
34853,이르다,형용사,대중이나 기준을 잡은 때보다 앞서거나 빠르다.,"준말 일다
반대말 늦다"
35157,이마마-하다,형용사,이 정도만 하다.,"참고 어휘 고마마-하다, 그마마-하다, 요마마-하다"
35289,이만저만-하다,형용사,이만하고 저만하다.,
35298,이만-하다,형용사,"상태, 모양, 성질 따위의 정도가 이러하다.","참고 어휘 고만-하다, 그만-하다, 요만-하다, 저만-하다, 조만-하다"
36741,이쁘다,형용사,생긴 모양이 아름다워 눈으로 보기에 좋다.,비슷한말 예쁘다
36746,이쁘디-이쁘다,형용사,매우 예쁘다.,비슷한말 예쁘디-예쁘다
36747,이쁘장-스럽다,형용사,제법 예쁜 데가 있다.,비슷한말 예쁘장-스럽다
36749,이쁘장-하다,형용사,제법 예쁘다.,비슷한말 예쁘장-하다
38341,이슥-하다,형용사,밤이 꽤 깊다.,
38958,이악-스럽다,형용사,달라붙는 기세가 굳세고 끈덕진 데가 있다.,
38964,이악이악-하다,형용사,달라붙는 기세가 매우 굳세고 끈덕지다.,비슷한말 이악-하다
38966,이악-하다,형용사,달라붙는 기세가 굳세고 끈덕지다.,"비슷한말 이악이악-하다
참고 어휘 이억-하다"
39256,이억이억-하다,형용사,달라붙는 기세가 몹시 굳세고 끈덕지다.,
39257,이억-하다,형용사,달라붙는 기세가 꽤 굳세고 끈덕지다.,참고 어휘 이악-하다
42528,이지다,형용사,"물고기, 닭, 돼지 따위가 살이 쪄서 기름지다.",
42545,이지렁-스럽다,형용사,능청맞고 천연스럽다.,참고 어휘 야지랑-스럽다
45254,익다,형용사,자주 경험하여 조금도 서투르지 않다.,
45280,익달-하다,형용사,여러 번 겪어 매우 능숙하거나 익숙하다.,
45419,익살-맞다,형용사,남을 웃기려고 일부러 우스운 말이나 행동을 하는 태도가 있다.,
45424,익살-스럽다,형용사,남을 웃기려고 일부러 우스운 말이나 행동을 하는 데가 있다.,
45480,익숙-하다,형용사,어떤 일을 여러 번 하여 서투르지 않은 상태에 있다.,비슷한말 유습-하다(狃習하다)
48736,인성만성-하다,형용사,많은 사람이 모여 혼잡하고 떠들썩한 상태이다.,
,어휘,품사,뜻풀이,관련 어휘
570,데퉁-맞다,형용사,몹시 데퉁스럽다.,
573,데퉁-스럽다,형용사,말과 행동이 거칠고 미련한 데가 있다.,
578,데퉁-하다,형용사,말과 행동이 거칠고 미련하다.,
733,덴덕-스럽다,형용사,산뜻하고 개운한 맛이 없고 좀 더러운 느낌이 있다.,
736,덴덕지근-하다,형용사,좀 더러운 느낌이 있어 아주 개운하지 못하다.,
1077,뎅그렇다,형용사,외따로 드러나 있어 보기에 쓸쓸하다.,"참고 어휘 당그랗다, 덩그렇다"
1083,뎅글뎅글-하다,형용사,책을 막힘없이 죽죽 잘 읽는 데가 있다.,
2322,도담도담-하다,형용사,여럿이 모두 야무지고 탐스럽다.,
2325,도담-스럽다,형용사,보기에 야무지고 탐스러운 데가 있다.,
2330,도담-하다,형용사,야무지고 탐스럽다.,
2528,도도록도도록-하다,형용사,여럿이 모두 가운데가 조금 솟아서 볼록하다.,준말 도독도독-하다
2530,도도록-하다,형용사,가운데가 조금 솟아서 볼록하다.,"준말 도독-하다
참고 어휘 두두룩-하다"
2537,도도-하다,형용사,잘난 체하여 주제넘게 거만하다.,
2620,도독-하다,형용사,조금 두껍다.,참고 어휘 두둑-하다
2626,도돌도돌-하다,형용사,물체의 겉에 볼록한 작은 것들이 솟아 나오거나 붙어 있어 고르지 아니하다.,
2830,도드라-지다,형용사,가운데가 쏙 나와서 볼록하다.,참고 어휘 두드러-지다
2877,도-뜨다,형용사,말씨나 행동이 정도가 높다.,
2963,도랑도랑-하다,형용사,말이나 행동 따위가 매우 똑똑하고 거리낌이 없다.,참고 어휘 또랑또랑-하다
3758,도리암직-하다,형용사,동글납작한 얼굴에 키가 자그마하고 몸매가 얌전하다.,준말 도럄직-하다
5004,도섭-스럽다,형용사,주책없이 능청맞고 수선스럽게 변덕을 부리는 태도가 있다.,
6786,도지다,형용사,매우 심하고 호되다.,
7360,도탑다,형용사,서로의 관계에 사랑이나 인정이 많고 깊다.,참고 어휘 두텁다
7453,도톰-하다,형용사,보기 좋을 정도로 알맞게 두껍다.,참고 어휘 두툼-하다
10374,돈-바르다,형용사,성미가 너그럽지 못하고 까다롭다.,
10712,돈-하다,형용사,매우 단단하고 세다.,
10747,돋-나다,형용사,인품이 두드러지게 뛰어나다.,
12819,돔-바르다,형용사,매우 인색하다.,
13758,동그랗다,형용사,또렷하게 동글다.,"참고 어휘 둥그렇다, 똥그랗다"
13770,동그마-하다,형용사,외따로 오뚝하다.,준말 동그맣다
13772,동그맣다,형용사,외따로 오뚝하다.,"본말 동그마-하다
참고 어휘 덩그맣다"
13775,동그스름-하다,형용사,약간 동글다.,"참고 어휘 둥그스름-하다, 똥그스름-하다"
13790,동글갸름-하다,형용사,동근 편으로 좀 긴 듯하다.,
13793,동글납대대-하다,형용사,생김새가 동글면서 넓고 조금 평평하다.,참고 어휘 둥글넙데데-하다
13796,동글납작-하다,형용사,생김새가 동글면서 납작하다.,참고 어휘 둥글넓적-하다
13798,동글다,형용사,작은 것이 원이나 공과 모양이 같거나 비슷하다.,참고 어휘 둥글다
13802,동글동글-하다,형용사,여럿이 다 또는 매우 동글다.,
13811,동글반반-하다,형용사,생김새가 동그스름하고 반반하다.,참고 어휘 둥글번번-하다
13822,동글-하다,형용사,보기에 꽤 동글다.,
13838,동긋-하다,형용사,동근 듯하다.,참고 어휘 둥긋-하다
14577,동-떨어지다,형용사,거리가 멀리 떨어지다.,
14585,동-뜨다,형용사,다른 것들보다 훨씬 뛰어나다.,
16781,동실동실-하다,형용사,모양이 동그스름하고 토실토실하다.,
16783,동실-하다,형용사,모양이 동그스름하다.,
20159,되다,형용사,반죽이나 밥 따위가 물기가 적어 빡빡하다.,"참고 어휘 묽다, 질다"
20167,되-다랗다,형용사,풀이나 죽 따위가 물기가 적어 매우 되다.,
20250,되디-되다,형용사,물기가 적어 몹시 되다.,반대말 묽디-묽다
20262,되똑-하다,형용사,코 따위가 오뚝 솟다.,
20315,되록되록-하다,형용사,군살이 처지도록 살이 쪄서 똥똥하다.,
20586,되-싸다,형용사,호되고 심하다.,
20625,되알-지다,형용사,힘주는 맛이나 억짓손이 몹시 세다.,
20633,되양되양-하다,형용사,말이나 하는 짓이 조심성이 없고 가볍다.,
20635,되양-스럽다,형용사,말이나 하는 짓이 조심성이 없고 가벼운 데가 있다.,
20678,되잖다,형용사,올바르지 않거나 이치에 닿지 않다.,
20713,되지-못하다,형용사,옳지 못하거나 보잘것없다.,
20719,되직-하다,형용사,죽이나 풀 따위가 묽지 않고 조금 되다.,
20769,되통-스럽다,형용사,찬찬하지 못하거나 미련하여 일을 잘 저지를 듯하다.,참고 어휘 뒤퉁-스럽다
21011,될-성부르다,형용사,잘될 가망이 있어 보이다.,
21022,됨직-하다,형용사,일정한 수량에 차거나 이르는 듯하다.,
21295,두겹-지다,형용사,두 겹으로 겹쳐 있다.,
21480,두껍다,형용사,두께가 보통의 정도보다 크다.,반대말 얇다
21483,두껍-다랗다,형용사,생각보다 꽤 두껍다.,반대말 얄따랗다
21487,두껍디-두껍다,형용사,몹시 두껍다.,반대말 얇디-얇다
21891,두두룩두두룩-하다,형용사,여럿이 모두 가운데가 솟아서 불룩하다.,"준말 두둑두둑-하다
참고 어휘 도도록도도록-하다"
21895,두두룩-하다,형용사,가운데가 솟아서 불룩하다.,"준말 두둑-하다
참고 어휘 도도록-하다"
21934,두둑-하다,형용사,매우 두껍다.,참고 어휘 도독-하다
21944,두둘두둘-하다,형용사,물체의 겉에 불룩한 것들이 솟아 나오거나 붙어 있어 고르지 아니하다.,
21974,두드러-지다,형용사,가운데가 쑥 나와서 불룩하다.,참고 어휘 도드라-지다
22253,두렵다,형용사,어떤 대상을 무서워하여 마음이 불안하다.,
22338,두루뭉술-하다,형용사,모나거나 튀지 않고 둥그스름하다.,
22571,두리넓적-하다,형용사,모양이 둥그스름하고 넓적하다.,
22581,두리두리-하다,형용사,둥글고 커서 시원하고 보기 좋다.,
22596,두리뭉실-하다,형용사,특별히 모나거나 튀지 않고 둥그스름하다.,
22614,두리벙-하다,형용사,차림새나 행동이 깔끔하지 못하고 엉성하다.,
22690,두말-없다,형용사,이러니저러니 불평을 하거나 덧붙이는 말이 없다.,
23852,두텁다,형용사,"신의, 믿음, 관계, 인정 따위가 굳고 깊다.",참고 어휘 도탑다
23893,두툼-하다,형용사,꽤 두껍다.,참고 어휘 도톰-하다
24195,둔덕-지다,형용사,지면이 가운데가 솟아서 불룩하게 언덕이 되어 있다.,
24479,둘-되다,형용사,상냥하지 못하고 미련하고 무디다.,
24705,둘-하다,형용사,둔하고 미련하다.,
